,¼±¼ö,G,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2Å¸,3Å¸,È¨·±,·çÅ¸,Å¸Á¡,µµ·ç,µµ½Ç,º¼³Ý,»ç±¸,°í4,»ïÁø,º´»ì,ÈñÅ¸,Èñºñ,Å¸À²,Ãâ·ç,ÀåÅ¸,OPS,wOBA,wRC+,WAR+,WPA
1303,±è¼ºÈÆ19»ï2B,65,88,77,14,14,1,1,1,20,5,4,3,7,0,0,11,0,4,0,.182,.250,.260,.510,.233,31.0,-0.32,-0.22
1304,±èÀçÇö18³ØC,116,234,202,22,46,7,0,3,62,18,0,0,12,8,0,58,2,9,3,.228,.293,.307,.600,.265,45.5,-0.32,-0.70
1305,¿À¼±Áø18ÇÑ3B,56,148,133,14,30,4,0,1,37,9,3,0,7,5,0,33,2,3,0,.226,.290,.278,.568,.261,42.0,-0.32,-0.69
1306,ÀÓÁ¾Âù20ÇÑRF,52,119,108,5,25,5,0,1,33,12,0,1,9,1,0,38,2,1,0,.231,.297,.306,.602,.283,61.7,-0.32,-0.49
1307,ÀÓÈÆ18LLF,54,88,83,10,19,3,0,2,28,7,0,0,3,0,0,15,3,2,0,.229,.256,.337,.593,.256,41.5,-0.32,-0.44
1308,Á¤°æ¿î18ÇÑ2B,22,16,15,1,1,0,0,0,1,2,0,0,0,0,0,7,1,0,1,.067,.063,.067,.129,.057,-92.5,-0.32,-0.42
1309,³ª¿øÅ¹18·ÔC,20,24,24,0,3,0,0,0,3,1,0,0,0,0,0,10,0,0,0,.125,.125,.125,.250,.115,-55.1,-0.33,-0.15
1310,¾È±Ç¼ö20µÎRF,68,41,37,10,10,0,0,0,10,3,2,1,2,0,0,5,1,1,1,.270,.300,.270,.570,.265,48.2,-0.33,-0.21
1311,ÀÌ¼º¿ì19LC,54,74,64,2,10,3,0,0,13,6,0,0,4,3,0,11,2,3,0,.156,.239,.203,.443,.212,18.9,-0.33,-0.26
1312,Á¤º´°ï18»ïSS,6,16,15,1,1,0,0,0,1,2,0,0,0,0,0,5,1,0,1,.067,.063,.067,.129,.057,-92.2,-0.33,-0.28
1313,Á¤»óÈ£19LC,22,24,24,1,2,1,0,0,3,2,0,0,0,0,0,11,3,0,0,.083,.083,.125,.208,.094,-62.6,-0.33,-0.21
1314,¹é¿ëÈ¯21KÇÑC,23,73,63,8,9,0,0,3,18,3,0,0,7,2,0,15,3,1,0,.143,.250,.286,.536,.255,41.5,-0.33,0.34
1315,ÀÌ¿µ¿í18KCF,14,16,16,0,2,0,0,0,2,1,1,0,0,0,0,4,0,0,0,.125,.125,.125,.250,.115,-54.7,-0.34,-0.20
1316,È«Á¾Ç¥20K2B,40,88,80,7,20,3,0,0,23,7,0,2,4,0,0,13,1,3,1,.250,.282,.288,.570,.259,42.9,-0.34,-1.01
1317,Á¶¿ëÈ£18SLF,16,14,13,4,1,0,0,0,1,0,0,1,0,0,0,5,0,1,0,.077,.077,.077,.154,.066,-87.9,-0.34,-0.20
1318,ÃÖÁ¤¿ë20K2B,38,59,56,5,11,1,0,1,15,5,0,0,2,0,0,15,0,1,0,.196,.224,.268,.492,.224,19.4,-0.35,-0.04
1319,ÀÌÇØÃ¢19KC,30,43,40,0,5,0,0,0,5,0,0,0,2,1,0,11,0,0,0,.125,.186,.125,.311,.161,-17.8,-0.35,-0.89
1320,ÇÏÁØÈ£18KLF,15,26,22,2,3,1,0,1,7,2,0,0,0,0,0,14,0,4,0,.136,.136,.318,.455,.155,-29.8,-0.35,-0.20
1321,ÀÌÇö¼®20SC,57,108,100,7,18,2,0,2,26,7,1,0,4,2,0,30,4,2,0,.180,.226,.260,.486,.224,19.3,-0.35,-0.55
1322,±èÁøÇü19N1B,11,23,20,2,3,1,0,0,4,2,0,0,0,0,0,4,1,1,2,.150,.136,.200,.336,.139,-32.3,-0.35,-0.35
1323,ÃÖ½Â¹Î21NCF,20,21,19,2,1,0,0,0,1,0,2,1,1,0,0,5,0,1,0,.053,.100,.053,.153,.081,-74.4,-0.36,-0.31
1324,³²ÅÂÇõ20SDH,35,72,66,3,13,1,0,1,17,11,0,0,6,0,0,22,2,0,0,.197,.264,.258,.522,.250,37.3,-0.36,-0.38
1325,È«Çöºó20KLF,40,24,18,5,0,0,0,0,0,1,0,1,5,0,1,5,0,1,0,.000,.217,.000,.217,.127,-42.7,-0.36,-0.14
1326,±¸º»Çõ20L3B,123,96,84,20,14,0,1,1,19,7,0,0,7,2,0,18,2,3,0,.167,.247,.226,.474,.224,23.0,-0.37,-0.22
1327,Á¤ÁøÈ£19µÎRF,66,110,96,13,20,0,0,1,23,3,5,2,11,0,0,24,2,3,0,.208,.290,.240,.529,.254,47.1,-0.37,-1.24
1328,¹ÚÁö±Ô18L2B,26,53,47,6,8,2,0,1,13,5,2,0,3,0,0,17,2,2,1,.170,.216,.277,.492,.210,11.0,-0.37,-0.38
1329,ÀÌ¿øÀç21N1B,31,69,65,3,15,2,0,0,17,7,1,0,1,1,0,11,1,1,1,.231,.250,.262,.512,.241,32.6,-0.37,-0.56
1330,±è»çÈÆ18·ÔC,56,79,74,7,17,3,0,0,20,6,0,0,1,1,0,22,0,3,0,.230,.250,.270,.520,.229,20.3,-0.38,-0.69
1331,ÀÌµ¿ÈÆ21ÇÑCF,26,58,49,7,9,1,0,0,10,2,2,2,3,2,0,11,1,4,0,.184,.259,.204,.463,.220,18.9,-0.38,-0.44
1332,°­Áø¼º18NLF,45,75,68,5,16,3,0,0,19,1,0,0,4,0,0,17,3,2,1,.235,.274,.279,.553,.248,35.2,-0.38,-1.00
1333,ÇãÁ¤Çù21Å°LF,28,51,45,4,7,0,0,0,7,2,0,0,6,0,0,10,1,0,0,.156,.255,.156,.411,.218,17.2,-0.38,0.11
1334,Á¤Çö19KS2B,27,44,37,3,3,0,0,0,3,2,1,1,6,0,0,16,1,0,1,.081,.205,.081,.286,.163,-15.9,-0.38,-0.39
1335,±èÀÎÈ¯19ÇÑ1B,18,46,42,1,9,1,0,0,10,2,0,0,2,0,0,9,0,0,2,.214,.239,.238,.477,.224,28.1,-0.38,-0.33
