,¼±¼ö,G,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2Å¸,3Å¸,È¨·±,·çÅ¸,Å¸Á¡,µµ·ç,µµ½Ç,º¼³Ý,»ç±¸,°í4,»ïÁø,º´»ì,ÈñÅ¸,Èñºñ,Å¸À²,Ãâ·ç,ÀåÅ¸,OPS,wOBA,wRC+,WAR+,WPA
0,·ÎÇÏ½º20KRF,140,618,542,114,189,39,1,46,368,132,0,1,63,5,5,130,10,0,8,.349,.416,.679,1.095,.466,180.3,7.62,7.22
1,±èÇÏ¼º19Å°SS,139,625,540,112,166,38,2,19,265,104,33,4,70,7,4,80,12,1,7,.307,.389,.491,.880,.397,145.7,7.17,4.52
2,±èÀçÈ¯18µÎLF,139,602,527,104,176,36,1,44,346,133,2,0,59,9,4,134,6,0,7,.334,.405,.657,1.062,.438,168.8,6.94,5.80
3,±èÇÏ¼º20Å°SS,136,612,525,110,161,24,1,29,274,105,23,2,74,8,3,68,12,2,3,.307,.398,.522,.920,.408,147.7,6.81,3.89
4,¾çÀÇÁö19NC,118,459,390,61,138,26,0,20,224,68,4,3,48,15,4,43,13,0,6,.354,.438,.574,1.012,.452,179.8,6.69,1.88
5,¹Úº´È£18³Ø1B,113,488,400,88,138,20,0,43,287,112,0,1,68,17,10,114,9,0,3,.345,.457,.718,1.175,.478,190.9,6.62,6.44
6,¾çÀÇÁö18µÎC,133,503,439,84,157,29,1,23,257,77,6,0,45,13,6,40,13,0,6,.358,.427,.585,1.013,.431,160.5,6.42,3.91
7,ÃÖÁ¤19S3B,141,606,503,86,147,27,0,29,261,99,3,2,69,26,6,92,4,0,8,.292,.399,.519,.918,.411,148.9,6.32,3.85
8,»÷Áî19Å°RF,139,613,525,100,160,39,1,28,285,113,1,2,77,6,1,101,17,0,5,.305,.396,.543,.939,.421,163.0,6.16,3.45
9,¾çÀÇÁö20NC,128,522,455,86,151,26,1,33,278,124,5,2,46,14,7,46,11,1,6,.332,.405,.611,1.016,.437,156.8,6.09,3.81
10,ÅÍÄ¿20KRF,142,631,542,100,166,40,0,32,302,113,0,2,76,9,3,67,12,0,4,.306,.398,.557,.955,.419,149.0,5.71,2.40
11,ÃÖÇü¿ì20KDH,140,600,522,93,185,37,1,28,308,115,0,0,70,5,5,101,9,0,3,.354,.433,.590,1.023,.450,168.6,5.71,7.20
12,ÀÌÁ¤ÈÄ20Å°RF,138,607,536,84,179,48,5,15,282,100,12,2,58,4,5,47,16,2,7,.334,.398,.526,.925,.408,145.2,5.68,3.98
13,ÀüÁØ¿ì18·ÔLF,144,614,556,118,190,36,2,33,329,90,7,7,48,7,1,82,12,1,2,.342,.400,.592,.991,.421,146.3,5.67,5.45
14,·ÎÇÏ½º18KCF,144,645,564,114,172,30,1,43,333,114,18,13,71,7,4,142,10,1,2,.305,.388,.590,.979,.410,138.5,5.66,5.41
15,·ÎÇÏ½º19KCF,142,576,520,68,167,29,3,24,274,104,4,4,48,3,5,120,4,0,5,.321,.379,.527,.905,.405,151.3,5.49,1.20
16,¹Úº´È£19Å°1B,122,532,432,92,121,22,0,33,242,98,0,1,78,13,5,117,7,0,9,.280,.399,.560,.959,.422,165.8,5.46,2.21
17,¼Õ¾Æ¼·18·ÔRF,141,625,553,109,182,32,5,26,302,93,20,3,68,2,1,99,15,1,1,.329,.404,.546,.950,.409,138.6,5.30,4.35
18,°­¹éÈ£21K1B,102,448,369,57,138,31,1,14,213,86,7,3,71,0,8,65,5,0,8,.374,.467,.577,1.044,.468,179.8,5.29,4.82
19,·¯ÇÁ18»ï1B,137,597,506,97,167,32,4,33,306,125,5,3,65,18,0,107,17,0,8,.330,.419,.605,1.024,.432,152.9,5.28,5.89
20,±èÇö¼ö20LLF,140,610,538,97,178,34,2,22,282,117,0,2,63,2,7,53,9,0,7,.331,.398,.524,.923,.408,148.8,5.24,5.06
21,Æä¸£³­µ¥½º19µÎDH,144,645,572,87,197,34,0,15,276,88,1,2,61,6,4,54,16,0,6,.344,.409,.483,.892,.408,154.7,5.10,3.32
22,È²Àç±Õ20K3B,132,591,535,105,166,34,5,21,273,95,11,6,47,4,0,98,12,2,3,.310,.368,.510,.879,.390,129.3,5.06,3.56
23,È«Ã¢±â21LCF,101,459,366,73,119,18,2,4,153,40,17,7,80,12,3,62,5,0,1,.325,.460,.418,.878,.422,155.5,5.04,3.32
24,¾ÈÄ¡È«18K2B,130,549,494,88,169,38,1,23,278,118,5,1,36,10,1,57,13,0,9,.342,.392,.563,.954,.407,140.3,4.98,4.06
25,ÃÖÇü¿ì18KLF,143,609,528,92,179,34,1,25,290,103,3,0,66,7,7,87,17,0,8,.339,.414,.549,.963,.411,143.4,4.94,5.70
26,³ª¼º¹ü20NDH,128,576,519,114,168,36,2,33,307,107,3,1,47,9,2,147,6,0,1,.324,.389,.592,.980,.428,150.9,4.94,3.86
27,¼Õ¾Æ¼·20·ÔRF,141,611,540,98,190,43,0,11,266,85,5,0,61,2,4,56,9,1,7,.352,.415,.493,.907,.409,140.0,4.93,4.57
28,ÀÌÁ¤ÈÄ19Å°LF,140,630,574,91,193,31,10,6,262,68,13,7,45,4,0,40,15,3,4,.336,.386,.456,.842,.386,135.1,4.88,1.39
29,ÀÌÁ¤ÈÄ21Å°CF,87,388,326,60,118,33,4,4,171,56,6,3,52,4,1,25,7,0,6,.362,.449,.525,.973,.447,167.4,4.84,2.41
30,±èÇö¼ö18LLF,117,511,453,95,164,39,2,20,267,101,1,3,47,1,6,61,9,0,10,.362,.415,.589,1.004,.424,155.2,4.79,4.23
31,·Î¸Æ18S1B,141,616,528,102,167,19,0,43,315,107,10,5,72,10,0,123,7,0,6,.316,.404,.597,1.001,.422,144.1,4.78,3.95
32,ÃÖÁ¤20S3B,131,544,444,89,119,22,0,32,237,93,8,3,75,19,1,97,7,0,6,.268,.392,.534,.925,.408,137.6,4.77,4.57
33,°­¹éÈ£19KRF,117,504,437,72,147,29,1,13,217,65,9,5,61,2,4,87,11,0,4,.336,.417,.497,.913,.415,157.4,4.74,3.83
34,Ã¤Àº¼º18LRF,139,578,529,78,175,36,2,25,290,119,3,1,35,9,1,97,12,0,5,.331,.379,.548,.927,.396,137.5,4.73,3.44
35,¹Ú¹Î¿ì19N2B,125,526,468,89,161,23,8,1,203,45,18,7,41,9,1,40,10,2,6,.344,.403,.434,.836,.387,135.8,4.72,1.68
36,¾çÀÇÁö21NDH,99,408,345,63,116,24,1,23,211,85,2,1,51,8,3,42,8,0,4,.336,.429,.612,1.041,.462,175.8,4.70,5.54
37,°­¹éÈ£20K1B,127,565,492,92,162,36,1,23,269,88,7,2,65,5,9,92,7,0,3,.329,.411,.547,.957,.421,149.7,4.69,3.21
38,¹Ú°Ç¿ì19µÎRF,127,537,458,83,146,27,5,10,213,64,12,3,60,7,0,57,23,1,11,.319,.397,.465,.863,.394,144.3,4.68,0.91
39,ÃÖÁÖÈ¯18µÎDH,138,590,519,87,173,39,6,26,302,108,1,0,51,10,1,89,5,0,10,.333,.397,.582,.979,.413,148.6,4.66,3.90
40,ÃÖÁ¤21S3B,100,408,322,71,91,14,1,27,188,78,8,4,58,18,1,72,6,1,9,.283,.410,.584,.994,.438,158.9,4.63,4.79
41,¹ö³ªµð³ª18KCF,131,590,513,106,159,25,3,20,250,70,32,13,63,10,3,103,9,3,1,.310,.395,.487,.883,.385,125.4,4.55,3.55
42,³ª¼º¹ü18NRF,144,620,556,110,177,36,3,23,288,91,15,2,44,15,4,131,11,0,5,.318,.381,.518,.899,.387,126.6,4.51,4.73
43,¹Ú¹Î¿ì20N2B,124,523,461,81,160,27,5,8,221,62,13,6,36,15,2,48,12,2,9,.347,.405,.479,.884,.399,133.8,4.48,1.47
44,±èÀçÈ¯20µÎLF,138,603,507,80,133,25,1,29,247,109,6,0,89,1,3,151,14,0,6,.262,.370,.487,.857,.380,132.5,4.44,2.06
45,Æä¸£³­µ¥½º20µÎDH,142,658,578,102,197,29,0,21,289,104,0,1,56,13,1,42,26,0,11,.341,.404,.500,.904,.407,147.5,4.39,4.28
46,¶ó¸ð½º20L1B,115,485,423,74,117,17,2,38,252,84,2,0,55,4,5,133,7,0,3,.277,.363,.596,.959,.409,154.8,4.35,2.42
47,¿ÀÁöÈ¯20LSS,139,583,520,94,156,39,7,10,239,71,20,8,44,9,1,113,4,5,5,.300,.362,.460,.821,.367,119.3,4.33,1.18
48,·Î¸Æ20S1B,137,577,477,84,134,32,0,32,262,88,4,2,90,6,5,114,5,0,4,.281,.399,.549,.948,.414,142.9,4.32,4.16
49,¾ËÅ×¾î20NCF,134,541,477,89,132,20,7,30,256,107,22,3,46,12,3,147,10,0,6,.277,.351,.537,.888,.385,122.7,4.26,2.71
50,ÀüÁØ¿ì19·ÔLF,141,606,545,85,164,30,1,22,262,83,8,2,46,7,2,71,19,1,7,.301,.359,.481,.839,.379,130.6,4.24,0.53
51,ÀÌÀç¿ø18SC,130,471,407,63,134,24,0,17,209,57,0,0,43,12,0,65,13,4,5,.329,.405,.514,.918,.397,130.6,4.21,2.10
52,·¯ÇÁ19»ï1B,133,568,472,80,138,35,2,22,243,101,6,3,80,7,6,87,18,0,9,.292,.396,.515,.911,.406,145.8,4.18,1.30
53,ÃÖÇü¿ì19KDH,136,555,456,65,137,31,1,17,221,86,0,1,85,7,6,77,13,0,7,.300,.413,.485,.897,.406,150.3,4.16,3.05
54,¿ÀÀçÀÏ19µÎ1B,130,529,467,76,137,29,1,21,231,102,2,1,55,3,1,99,5,0,4,.293,.369,.495,.863,.390,145.1,4.14,4.60
55,È²Àç±Õ19K3B,124,506,447,78,127,16,3,20,209,67,10,7,52,2,2,70,10,0,5,.284,.358,.468,.825,.373,130.2,4.05,2.18
56,·Î¸Æ19S1B,137,589,504,86,139,28,1,29,256,95,6,3,73,6,3,117,11,0,6,.276,.370,.508,.878,.393,136.7,4.02,1.09
57,ÀÌÃµ¿õ19LCF,138,613,546,88,168,24,3,2,204,48,21,10,57,5,1,82,13,4,1,.308,.378,.374,.751,.353,114.3,3.98,2.02
58,ÃÖÁÖÈ¯20µÎ2B,138,564,500,62,152,29,4,16,237,85,2,2,47,6,5,66,7,1,10,.304,.364,.474,.838,.371,123.7,3.97,1.46
59,¹Ú¼®¹Î20N3B,121,443,354,58,109,15,0,14,166,63,0,1,73,9,2,62,11,2,4,.308,.434,.469,.903,.411,141.7,3.97,2.60
60,È«Ã¢±â20LCF,133,501,402,87,113,29,5,5,167,38,11,5,83,10,1,85,8,3,3,.281,.414,.415,.829,.385,130.5,3.94,2.87
61,±¸ÀÚ¿í18»ïRF,116,529,478,100,159,26,5,20,255,84,10,0,43,5,2,110,4,1,2,.333,.392,.533,.926,.398,131.9,3.91,4.23
62,ÀÌ´ëÈ£18·ÔDH,144,604,543,81,181,30,0,37,322,125,0,1,43,14,7,75,18,0,4,.333,.394,.593,.987,.415,142.3,3.84,4.34
63,±èÀçÈ£18µÎSS,131,467,402,78,125,20,0,16,193,75,6,2,52,4,1,77,12,3,6,.311,.390,.480,.870,.379,124.5,3.79,1.69
64,ÀÌÁ¤ÈÄ18³ØRF,109,520,459,81,163,34,2,6,219,57,11,4,42,8,3,58,5,3,8,.355,.412,.477,.889,.391,127.4,3.75,2.90
65,È£À×18ÇÑRF,142,590,529,85,162,47,2,30,303,110,23,9,51,5,10,93,5,0,5,.306,.370,.573,.942,.391,124.8,3.72,4.72
66,¿ÀÀçÀÏ20µÎ1B,125,528,466,62,147,32,0,16,227,89,2,1,60,0,1,92,12,0,2,.315,.392,.487,.879,.397,141.1,3.70,1.39
67,¹Ú°Ç¿ì20µÎRF,128,546,482,101,145,40,0,14,227,70,8,2,42,12,2,64,9,3,7,.301,.367,.471,.837,.374,125.6,3.69,1.58
68,À¯°­³²18LC,132,465,425,53,126,33,0,19,216,66,0,0,28,9,1,80,21,2,1,.296,.352,.508,.860,.368,118.7,3.68,-0.62
69,¹èÁ¤´ë20KCF,142,604,523,87,151,25,3,13,221,64,22,13,68,5,0,141,9,5,3,.289,.374,.423,.797,.364,111.6,3.60,0.91
70,±èÀçÈ¯21µÎLF,96,399,333,58,93,13,1,20,168,79,1,2,57,5,1,90,4,0,4,.279,.389,.505,.893,.406,150.1,3.57,2.53
71,±èÇö¼ö19LLF,140,595,526,75,160,37,0,11,230,82,3,1,54,6,9,52,11,0,9,.304,.370,.437,.807,.366,125.8,3.57,3.29
72,±èÇÏ¼º18³ØSS,129,576,511,95,147,27,4,20,242,84,8,2,54,5,2,81,16,1,5,.288,.358,.474,.832,.360,108.5,3.56,1.01
73,Çã°æ¹Î18µÎ3B,133,577,516,85,167,30,5,10,237,79,20,4,32,16,0,52,15,5,8,.324,.376,.459,.835,.366,113.4,3.56,1.89
74,Á¤Àº¿ø21ÇÑ2B,108,469,379,66,106,18,5,5,149,33,16,9,86,0,1,82,8,2,2,.280,.411,.393,.804,.384,128.4,3.55,1.38
75,ÃÖÀçÈÆ19ÇÑC,135,451,373,47,108,18,0,3,135,31,3,10,56,14,0,61,9,4,4,.290,.398,.362,.760,.362,122.0,3.55,-0.01
76,ÇÑÀ¯¼¶18SRF,136,562,486,97,138,31,0,41,292,115,4,2,52,16,3,124,10,0,8,.284,.367,.601,.967,.399,129.8,3.53,4.03
77,¹Îº´Çå19·ÔCF,101,420,369,52,112,24,2,9,167,43,13,6,42,5,0,55,9,1,3,.304,.380,.453,.832,.382,133.4,3.53,0.10
78,ÃÖÁ¤18S3B,115,489,406,95,99,16,1,35,222,74,9,2,58,23,2,129,10,0,2,.244,.368,.547,.915,.385,120.3,3.52,2.50
79,±èÀçÈ¯19µÎLF,136,573,494,76,140,20,5,15,215,91,3,1,63,5,5,113,7,0,11,.283,.363,.435,.798,.362,123.5,3.52,2.53
80,È£À×19ÇÑRF,124,525,476,74,135,26,2,18,219,73,22,7,38,5,5,90,6,1,5,.284,.340,.460,.800,.359,120.9,3.51,1.69
81,À¯ÇÑÁØ18KRF,121,480,428,59,145,21,1,20,228,83,1,1,47,2,3,53,9,2,1,.339,.406,.533,.939,.404,134.5,3.48,2.84
82,À¯ÇÑÁØ19KDH,139,562,501,61,159,19,1,14,222,86,3,0,52,4,1,61,20,0,5,.317,.383,.443,.826,.381,133.6,3.46,4.09
83,¹Ú°Ç¿ì18µÎCF,125,529,488,79,159,24,6,12,231,84,7,3,28,10,1,65,14,1,2,.326,.373,.473,.847,.371,117.5,3.42,3.97
84,È²Àç±Õ18K3B,142,588,530,76,157,41,3,25,279,88,14,7,49,4,1,120,5,2,3,.296,.358,.526,.885,.376,115.5,3.40,1.96
85,¿ÀÁöÈ¯19LSS,134,547,473,63,119,23,5,9,179,53,27,5,57,7,1,113,7,7,3,.252,.339,.378,.717,.330,100.8,3.37,0.85
86,±¸ÀÚ¿í20»ïLF,118,510,446,70,137,27,2,15,213,78,19,5,51,8,3,91,4,1,4,.307,.385,.478,.863,.387,126.0,3.36,4.53
87,À¯°­³²19LC,132,468,418,44,113,22,0,16,183,49,0,0,30,13,2,82,21,1,6,.270,.334,.438,.772,.350,117.0,3.35,-0.00
88,ÀÌ¿ø¼®18»ï3B,128,543,479,74,144,30,1,20,236,93,2,1,52,7,1,103,10,0,5,.301,.374,.493,.867,.376,116.9,3.35,3.82
89,Çã°æ¹Î20µÎ3B,115,479,430,68,143,25,1,5,185,55,14,6,34,5,2,28,10,3,7,.333,.382,.430,.813,.370,119.9,3.34,1.60
90,¹Ú°Ç¿ì21µÎCF,86,361,314,56,104,25,0,3,138,44,9,0,36,7,1,49,14,0,4,.331,.407,.439,.847,.398,139.4,3.33,1.36
91,±èÇý¼º21Å°SS,108,480,424,73,126,16,2,3,155,50,33,4,50,0,3,74,3,0,6,.297,.367,.366,.732,.348,102.4,3.32,0.56
92,³ª¼º¹ü21NRF,102,451,406,76,116,20,1,28,222,78,1,1,30,11,2,99,5,0,4,.286,.348,.547,.895,.398,133.0,3.31,2.33
93,¹Ú¼®¹Î19N3B,112,444,360,49,96,17,1,19,172,74,1,2,65,12,2,69,17,4,3,.267,.393,.478,.871,.393,139.3,3.31,1.42
94,¿ÀÀç¿ø18µÎ2B,132,521,473,78,148,24,1,15,219,81,15,6,41,2,0,119,13,3,2,.313,.369,.463,.832,.364,114.0,3.29,4.07
95,±è»ó¼ö20»ï2B,120,471,404,71,123,18,3,5,162,47,10,3,55,8,1,55,16,2,2,.304,.397,.401,.798,.372,118.2,3.26,0.76
96,°­¹ÎÈ£21»ïC,94,358,316,45,99,17,0,14,158,56,0,0,34,2,4,39,13,0,6,.313,.377,.500,.877,.395,129.8,3.26,1.05
97,¸¶Â÷µµ20·ÔSS,144,560,486,79,136,31,1,12,205,67,15,1,54,8,2,60,20,4,8,.280,.356,.422,.778,.351,102.5,3.25,1.71
98,ÅÍÄ¿19KRF,95,399,357,50,111,33,0,9,171,50,0,0,38,3,0,44,12,0,1,.311,.381,.479,.860,.393,141.4,3.25,0.56
99,¹ÚÇØ¹Î18»ïCF,144,649,576,114,172,30,10,9,249,68,36,10,56,3,0,99,9,8,6,.299,.360,.432,.793,.347,99.1,3.20,1.95
100,±¸ÀÚ¿í21»ïRF,104,462,408,84,120,20,7,17,205,71,25,3,36,6,2,75,7,1,11,.294,.351,.502,.854,.381,121.5,3.18,2.62
101,Ã¤Àº¼º19LRF,128,513,469,59,148,18,1,12,204,72,2,2,24,12,1,66,9,0,8,.316,.359,.435,.794,.364,124.5,3.16,-0.31
102,³ªÁö¿Ï20KLF,137,556,468,73,136,19,1,17,208,92,0,0,64,18,1,114,6,0,6,.291,.392,.444,.837,.383,124.0,3.08,4.11
103,ÀüÁØ¿ì20·ÔLF,143,628,562,95,157,34,1,26,271,96,5,5,52,8,0,79,21,3,3,.279,.347,.482,.829,.368,113.1,3.06,1.75
104,¹Ú¼¼Çõ19µÎC,137,505,441,58,123,19,9,4,172,63,8,2,41,7,1,68,5,10,6,.279,.346,.390,.736,.334,101.3,3.06,1.02
105,¹Îº´Çå18·ÔCF,118,494,443,74,141,21,0,17,213,66,8,3,35,8,3,68,10,2,6,.318,.374,.481,.855,.370,113.1,3.05,1.13
106,ÀÌÇüÁ¾18LCF,118,485,437,83,138,27,0,13,204,42,6,4,31,12,0,82,6,5,0,.316,.377,.467,.844,.370,117.8,3.05,2.16
107,¾ËÅ×¾î21NCF,101,399,346,57,91,14,1,22,173,60,11,2,39,9,1,109,4,0,5,.263,.348,.500,.848,.381,122.4,3.05,1.28
108,³ë¼ö±¤18SCF,135,588,515,93,161,21,8,8,222,53,25,4,48,13,0,86,3,9,3,.313,.383,.431,.815,.360,107.9,3.03,3.46
109,³ëÁøÇõ20NSS,130,478,421,68,113,21,3,19,197,81,0,4,49,5,3,105,8,3,0,.268,.352,.468,.820,.364,109.6,3.02,1.30
110,ÇÇ·¼¶ó21»ïDH,109,494,442,88,132,22,2,25,233,86,9,5,43,6,2,67,4,0,3,.299,.366,.527,.894,.402,133.7,3.01,3.62
111,°­¹ÎÈ£20»ïC,119,393,355,46,102,14,0,19,173,61,0,0,31,4,2,54,17,0,3,.287,.349,.487,.836,.370,112.6,3.00,0.55
112,ÀÌÇüÁ¾19LLF,120,482,419,56,120,24,1,13,185,63,6,5,42,10,1,78,9,1,10,.286,.358,.442,.799,.363,125.2,2.99,0.34
113,±è»ó¼ö19»ï2B,129,543,468,76,127,20,2,5,166,38,21,3,50,15,1,67,14,6,4,.271,.358,.355,.712,.334,100.0,2.97,-1.97
114,¹Ú¹Î¿ì18N2B,115,460,411,68,133,22,5,5,180,33,17,5,32,10,3,51,4,3,4,.324,.383,.438,.821,.363,112.9,2.93,0.96
115,¹Úµ¿¿ø19Å°C,112,361,317,50,94,15,1,10,141,55,1,0,34,2,0,56,10,7,1,.297,.367,.445,.812,.367,125.2,2.92,1.37
116,È²Àç±Õ21K3B,77,335,299,61,95,11,1,10,138,44,10,4,32,2,0,60,7,0,2,.318,.385,.462,.847,.393,130.6,2.89,0.54
117,À¯°­³²20LC,135,473,424,51,110,18,0,16,176,74,1,1,32,13,1,84,18,2,2,.259,.329,.415,.744,.337,101.4,2.89,0.84
118,±èÀçÈ£19µÎSS,130,470,377,51,101,22,0,4,135,48,3,3,67,7,3,58,10,8,11,.268,.379,.358,.737,.342,108.2,2.89,-0.20
119,¿ÀÀçÀÏ18µÎ1B,123,477,401,69,112,19,2,27,216,80,1,1,60,6,2,121,3,0,10,.279,.373,.539,.912,.384,130.4,2.85,1.22
120,¾ÈÄ¡È«19K2B,105,408,362,45,114,18,1,5,149,49,4,2,40,1,1,37,9,0,5,.315,.380,.412,.792,.368,123.3,2.84,0.93
121,Á¤¼öºó20µÎCF,139,551,483,83,143,17,7,5,189,58,15,6,54,2,3,54,10,7,5,.296,.366,.391,.757,.345,102.9,2.83,1.43
122,¿ÀÁöÈ¯18LSS,144,617,533,93,148,26,2,11,211,71,10,5,59,7,3,146,6,12,6,.278,.354,.396,.750,.329,89.4,2.83,2.62
123,¹ÚÇØ¹Î21»ïCF,104,449,374,68,108,20,1,5,145,46,33,11,57,3,2,68,3,9,6,.289,.382,.388,.770,.357,108.0,2.79,1.42
124,±èÇý¼º20Å°2B,140,545,492,79,140,23,6,7,196,59,25,7,46,2,0,92,6,2,3,.285,.346,.398,.745,.342,99.9,2.77,1.42
125,¹Úµ¿¿ø21Å°C,101,374,319,48,81,15,0,20,156,65,1,0,44,6,0,89,9,3,2,.254,.353,.489,.842,.379,130.2,2.77,1.63
126,¼Õ¾Æ¼·19·ÔRF,134,568,512,78,151,22,1,10,205,63,12,8,52,1,1,92,6,1,2,.295,.360,.400,.760,.353,113.9,2.75,1.70
127,¾ÈÄ¡È«21·Ô2B,80,349,299,39,93,23,2,9,147,61,3,5,38,2,1,46,6,3,7,.311,.384,.492,.876,.395,130.7,2.75,1.63
128,±èÁÖÂù18K1B,121,471,429,71,146,23,0,18,223,93,8,1,23,7,5,57,15,2,10,.340,.375,.520,.895,.380,122.1,2.75,2.43
129,ÃÖÀçÈÆ20ÇÑC,125,385,336,44,101,19,0,3,129,34,0,0,29,15,0,44,7,5,0,.301,.382,.384,.766,.357,110.8,2.74,0.51
130,ÀÌÇüÁ¾20LRF,81,323,287,41,85,17,2,17,157,50,1,0,27,7,1,61,7,0,2,.296,.368,.547,.916,.401,146.5,2.73,0.05
131,Ã¤Àº¼º21LRF,68,285,249,46,74,14,0,14,130,58,3,1,25,7,0,46,5,0,4,.297,.372,.522,.894,.404,151.1,2.73,2.37
132,Á¤ÈÆ20·ÔCF,111,476,410,72,121,19,1,11,175,58,11,1,56,4,0,85,8,2,4,.295,.382,.427,.809,.371,115.8,2.69,1.87
133,¹øÁî18·Ô2B,133,505,462,80,124,34,5,23,237,64,5,2,33,9,2,133,8,1,0,.268,.329,.513,.842,.356,103.2,2.67,0.17
134,ÀÌÀç¿ø19SC,139,502,451,33,121,19,0,12,176,75,1,0,34,9,2,59,16,1,7,.268,.327,.390,.718,.330,95.9,2.66,0.43
135,¾ç¼®È¯21µÎ1B,102,424,381,51,107,18,0,23,194,72,2,2,33,4,1,106,10,0,6,.281,.340,.509,.849,.380,133.9,2.62,1.32
136,Á¤ÈÆ21·Ô1B,98,423,365,57,114,21,1,11,170,59,8,1,54,1,3,63,4,1,2,.312,.401,.466,.866,.400,134.6,2.59,1.60
137,¹ÚÇØ¹Î20»ïCF,131,538,486,84,142,18,5,11,203,55,34,12,39,3,1,76,7,7,3,.292,.347,.418,.764,.344,99.1,2.56,-0.05
138,±èÇö¼ö21LLF,98,415,354,52,101,18,1,14,163,64,1,0,53,2,4,32,6,0,6,.285,.376,.460,.836,.382,133.7,2.54,2.88
139,³ëÁøÇõ21NSS,66,245,207,31,67,12,0,6,97,37,1,1,30,3,0,58,2,3,2,.324,.413,.469,.882,.406,141.0,2.54,0.76
140,¹Ú°æ¼ö18K2B,135,528,458,65,120,21,0,25,216,74,4,1,58,9,2,129,16,0,3,.262,.354,.472,.826,.357,104.0,2.51,1.52
141,ÀüÁØ¿ì21·ÔLF,104,456,396,65,121,29,0,6,168,65,5,2,47,5,0,50,10,1,7,.306,.380,.424,.805,.376,118.7,2.51,2.29
142,ÀÌÃ¢Áø19KCF,133,470,400,57,108,25,1,6,153,48,8,8,57,4,0,92,8,4,5,.270,.363,.383,.745,.347,108.8,2.50,-0.85
143,ÇÏÁÖ¼®21ÇÑSS,103,446,394,59,110,23,3,7,160,50,15,5,40,7,0,98,7,3,2,.279,.354,.406,.761,.355,109.3,2.48,-0.84
144,ÇÑµ¿Èñ20·Ô3B,135,531,461,62,128,22,0,17,201,67,0,3,57,5,0,97,15,5,3,.278,.361,.436,.797,.360,108.4,2.47,0.40
145,ÃÖ¿øÁØ20KCF,123,412,359,72,117,16,6,2,151,35,14,3,33,6,0,35,1,9,5,.326,.387,.421,.808,.365,112.6,2.47,2.31
146,ÀÌ¼º¿­19ÇÑRF,129,476,414,60,106,21,1,21,192,85,8,4,48,9,1,114,7,1,4,.256,.343,.464,.807,.364,124.7,2.45,1.76
147,ÀÌ¸í±â19KNRF,139,547,484,62,142,17,3,2,171,35,14,4,48,4,2,66,12,7,4,.293,.359,.353,.713,.332,98.5,2.45,-1.33
148,Çã°æ¹Î19µÎ3B,133,540,475,71,137,25,1,4,176,60,11,5,34,17,2,36,16,3,11,.288,.350,.371,.721,.334,102.4,2.44,-0.25
149,ÀÌÃµ¿õ18LLF,112,405,359,61,122,22,3,2,156,39,10,10,39,3,2,48,11,2,2,.340,.407,.435,.842,.377,119.7,2.41,1.65
150,¹Ú°æ¼ö20K2B,119,391,324,33,91,17,0,13,147,59,0,1,48,9,2,96,14,3,7,.281,.381,.454,.835,.374,118.9,2.41,0.77
151,³ëÁøÇõ19NSS,110,390,348,51,92,23,2,13,158,43,0,1,31,2,2,80,7,6,3,.264,.326,.454,.780,.345,107.2,2.39,-0.48
152,¼­°ÇÃ¢21Å°L2B,102,440,376,59,99,17,1,5,133,37,10,4,52,7,2,54,11,2,3,.263,.361,.354,.715,.341,99.7,2.38,0.79
153,³ªÁö¿Ï18KDH,114,379,317,50,86,18,0,26,182,78,0,0,38,19,2,81,14,0,5,.271,.377,.574,.951,.397,134.3,2.35,0.90
154,¼­°ÇÃ¢19Å°2B,113,486,426,67,128,23,3,2,163,41,17,3,49,3,1,50,5,3,5,.300,.373,.383,.755,.352,112.6,2.34,0.10
155,Æä¸£³­µ¥½º21µÎDH,99,436,376,56,118,17,0,12,171,63,0,1,51,4,3,26,24,0,5,.314,.397,.455,.852,.394,139.4,2.31,0.23
156,±è¼±ºó19KSS,121,447,394,55,115,22,0,3,146,40,5,4,43,1,0,26,7,5,4,.292,.360,.371,.730,.340,104.6,2.30,1.05
157,³ë½ÃÈ¯21ÇÑ3B,81,341,289,38,75,12,0,13,126,56,4,2,50,0,5,86,10,0,2,.260,.367,.436,.803,.368,117.1,2.26,0.61
158,°íÁ¾¿í19SLF,137,513,492,76,159,25,7,3,207,56,31,10,18,1,1,89,5,0,2,.323,.347,.421,.768,.353,115.5,2.26,1.73
159,¹Úµ¿¿ø20Å°C,110,366,319,44,80,20,0,12,136,50,0,0,37,6,0,67,10,2,2,.251,.338,.426,.764,.345,105.1,2.26,0.39
160,±è¼±ºó20K2B,85,351,303,42,100,19,0,1,122,37,1,1,40,2,0,43,12,1,5,.330,.406,.403,.808,.378,120.9,2.25,1.07
161,¹èÁ¤´ë21KCF,104,442,382,65,102,17,0,10,149,57,14,6,44,10,2,87,5,2,4,.267,.355,.390,.745,.349,101.5,2.25,0.43
162,¹Ú¼ºÇÑ21SSS,98,313,274,39,83,17,1,3,111,30,10,2,28,1,0,47,1,10,0,.303,.370,.405,.775,.355,109.1,2.24,0.71
